"gs","gene"
"IRF4Up-7","SMARCA2"
"IRF4Up-7","SNX9"
"IRF4Up-7","SP140"
"IRF4Up-7","SPIB"
"IRF4Up-7","SPTBN1"
"IRF4Up-7","SSR3"
"IRF4Up-7","ST3GAL1"
"IRF4Up-7","ST6GALNAC4"
"IRF4Up-7","STAMBPL1"
"IRF4Up-7","STAT3"
"IRF4Up-7","TCF4"
"IRF4Up-7","TCTN3"
"IRF4Up-7","TET2"
"IRF4Up-7","TLE1"
"IRF4Up-7","TMEM154"
"IRF4Up-7","TNFAIP8"
"IRF4Up-7","TOX2"
"IRF4Up-7","TPM4"
"IRF4Up-7","TRAM2"
"IRF4Up-7","TREX1"
"IRF4Up-7","UBALD2"
"IRF4Up-7","UCK2"
"IRF4Up-7","UNC93B1"
"IRF4Up-7","VASH2"
"IRF4Up-7","VAV2"
"IRF4Up-7","VEGFA"
"IRF4Up-7","VOPP1"
"IRF4Up-7","WNT10A"
"IRF4Up-7","WNT9A"
"IRF4Up-7","YARS1"
"IRF4Up-7","ZBTB32"
"IRF4Up-7","ZFAT"
"IRF4Up-7","ZNF432"
"IRF4Dn-1","ADGRG5"
"IRF4Dn-1","AIM2"
"IRF4Dn-1","ALOX5AP"
"IRF4Dn-1","ANK1"
"IRF4Dn-1","ANK3"
"IRF4Dn-1","ARHGAP44"
"IRF4Dn-1","ARL5B"
"IRF4Dn-1","ATL2"
"IRF4Dn-1","BCAS4"
"IRF4Dn-1","BFSP2"
"IRF4Dn-1","BICD1"
"IRF4Dn-1","BORCS8-MEF2B"
"IRF4Dn-1","BPTF"
"IRF4Dn-1","SHLD1"
"IRF4Dn-1","CCDC126"
"IRF4Dn-1","CCDC69"
"IRF4Dn-1","CCND3"
"IRF4Dn-1","CD1A"
"IRF4Dn-1","CD27"
"IRF4Dn-1","CD38"
"IRF4Dn-1","CD83"
"IRF4Dn-1","CD86"
"IRF4Dn-1","CDK14"
"IRF4Dn-1","CEP126"
"IRF4Dn-1","CFAP58"
"IRF4Dn-1","CLIC5"
"IRF4Dn-1","COA1"
"IRF4Dn-1","COTL1"
"IRF4Dn-1","CUX1"
"IRF4Dn-1","CYP39A1"
"IRF4Dn-1","DAAM1"
"IRF4Dn-1","DEF8"
"IRF4Dn-1","DHRS9"
"IRF4Dn-1","DIP2C"
"IRF4Dn-1","DOK3"
"IRF4Dn-1","EBF1"
"IRF4Dn-1","EHD3"
"IRF4Dn-1","ELF1"
"IRF4Dn-1","EML6"
"IRF4Dn-1","ENPP3"
"IRF4Dn-1","EPSTI1"
"IRF4Dn-1","ERP44"
"IRF4Dn-1","FAM53B"
"IRF4Dn-1","FANCA"
"IRF4Dn-1","FCRL1"
"IRF4Dn-1","FCRLB"
"IRF4Dn-1","GATAD2B"
"IRF4Dn-1","GCNT1"
"IRF4Dn-1","GCSAM"
"IRF4Dn-1","GPR160"
"IRF4Dn-1","HECW2"
"IRF4Dn-1","HGSNAT"
"IRF4Dn-1","HSD17B12"
"IRF4Dn-1","HTR3A"
"IRF4Dn-1","IGSF22"
"IRF4Dn-1","ILDR1"
"IRF4Dn-1","IQCD"
"IRF4Dn-1","ITPKB"
"IRF4Dn-1","IZUMO4"
"IRF4Dn-1","KCNN3"
"IRF4Dn-1","GARRE1"
"IRF4Dn-1","KIAA1549L"
"IRF4Dn-1","KLF12"
"IRF4Dn-1","KLHL6"
"IRF4Dn-1","KRT13"
"IRF4Dn-1","LACC1"
"IRF4Dn-1","LCK"
"IRF4Dn-1","LHPP"
"IRF4Dn-1","LNPEP"
"IRF4Dn-1","LPP"
"IRF4Dn-1","IRAG2"
"IRF4Dn-1","LY9"
"IRF4Dn-1","LYL1"
"IRF4Dn-1","MAP3K7CL"
"IRF4Dn-1","MAP4K4"
"IRF4Dn-1","MAST3"
"IRF4Dn-1","MBD4"
"IRF4Dn-1","MCTP2"
"IRF4Dn-1","MED12L"
"IRF4Dn-1","MEF2C"
"IRF4Dn-1","MET"
"IRF4Dn-1","MILR1"
"IRF4Dn-1","MOB1A"
"IRF4Dn-1","MOB3A"
"IRF4Dn-1","MPZL3"
"IRF4Dn-1","MTF2"
"IRF4Dn-1","MYO1E"
"IRF4Dn-1","NCALD"
"IRF4Dn-1","NCOA7"
"IRF4Dn-1","NLRP2"
"IRF4Dn-1","NR3C1"
"IRF4Dn-1","OTULIN"
"IRF4Dn-1","PACSIN1"
"IRF4Dn-1","PAG1"
"IRF4Dn-1","PALD1"
"IRF4Dn-1","PHLPP1"
"IRF4Dn-1","PIK3CG"
"IRF4Dn-1","PIP4K2A"
"IRF4Dn-1","PITPNC1"
"IRF4Dn-1","PLAG1"
"IRF4Dn-1","PLXNB2"
"IRF4Dn-1","POLD4"
"IRF4Dn-1","POLH"
"IRF4Dn-1","PPIL2"
"IRF4Dn-1","PRAG1"
"IRF4Dn-1","PRKCD"
"IRF4Dn-1","PRKRIP1"
"IRF4Dn-1","PTAFR"
"IRF4Dn-1","PTK2B"
"IRF4Dn-1","PTPN18"
"IRF4Dn-1","PTPRS"
"IRF4Dn-1","PUDP"
"IRF4Dn-1","PXK"
"IRF4Dn-1","RCBTB2"
"IRF4Dn-1","RECQL5"
"IRF4Dn-1","REL"
"IRF4Dn-1","RFTN1"
"IRF4Dn-1","RRM2B"
"IRF4Dn-1","S1PR2"
"IRF4Dn-1","SEC14L1"
"IRF4Dn-1","SEMA4A"
"IRF4Dn-1","SGPP1"
"IRF4Dn-1","SH2B2"
"IRF4Dn-1","SH3KBP1"
"IRF4Dn-1","SLC15A4"
"IRF4Dn-1","SLC25A27"
"IRF4Dn-1","SLC2A5"
"IRF4Dn-1","SLC6A16"
"IRF4Dn-1","SMARCA4"
"IRF4Dn-1","SMIM14"
"IRF4Dn-1","SOBP"
"IRF4Dn-1","SOX5"
"IRF4Dn-1","SPRED2"
"IRF4Dn-1","STAG3"
"IRF4Dn-1","STX7"
"IRF4Dn-1","SWAP70"
"IRF4Dn-1","SYK"
"IRF4Dn-1","SYNE2"
"IRF4Dn-1","SYT11"
"IRF4Dn-1","TBC1D4"
"IRF4Dn-1","TMEM123"
"IRF4Dn-1","TMEM131L"
"IRF4Dn-1","TMEM229B"
"IRF4Dn-1","TNFSF10"
"IRF4Dn-1","TOB2"
"IRF4Dn-1","TPCN1"
"IRF4Dn-1","TPCN2"
"IRF4Dn-1","UBE2J1"
"IRF4Dn-1","USP12"
"IRF4Dn-1","VGLL4"
"IRF4Dn-1","WIPI2"
"IRF4Dn-1","XKR6"
"IRF4Dn-1","XYLT1"
"IRF4Dn-1","ZFHX3"
"IRF4Dn-1","ZNF318"
"IRF4Dn-1","ZNF581"
"IRF4Dn-1","ZNF608"
"BCL6Dn-1","ATR"
"BCL6Dn-1","CCL3"
"BCL6Dn-1","CCND2"
"BCL6Dn-1","CD44"
"BCL6Dn-1","CD69"
"BCL6Dn-1","CD80"
"BCL6Dn-1","CDKN1A"
"BCL6Dn-1","CDKN1B"
"BCL6Dn-1","CXCL10"
"BCL6Dn-1","CXCR4"
"BCL6Dn-1","GPR183"
"BCL6Dn-1","ID2"
"BCL6Dn-1","IFITM1"
"BCL6Dn-1","IFITM3"
"BCL6Dn-1","IRF9"
"BCL6Dn-1","NFKB1"
"BCL6Dn-1","PRDM1"
"BCL6Dn-1","STAT1"
"BCL6Dn-1","TP53"
"macrophage","FUCA1"
"macrophage","MMP9"
"macrophage","LGMN"
"macrophage","HS3ST2"
"macrophage","TM4SF19"
"macrophage","CLEC5A"
"macrophage","GPNMB"
"macrophage","KCNJ5-AS1"
"macrophage","CD68"
"macrophage","CYBB"
"dc","CD1A"
"dc","CD1B"
"dc","CD1E"
"dc","CCL13"
"dc","CCL17"
